food_name,diet_tags,mood_tags,allergens,best_time_to_eat,description
Sponge cake ,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Sponge cake  is suitable for a general diet and supports neutral mood.
Glace icing,"Vegan, Vegetarian",Happy,None,Lunch,Glace icing is suitable for a general diet and supports neutral mood.
Royal icing,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Royal icing is suitable for a general diet and supports neutral mood.
American frosting,"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,American frosting is suitable for a general diet and supports neutral mood.
Gum icing,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Gum icing is suitable for a general diet and supports neutral mood.
Channa murmura premix,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Channa murmura premix is suitable for a general diet and supports neutral mood.
Cracked wheat and green gram dal premix (Dalia moong dal premix),"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner","Cracked wheat and green gram dal premix (Dalia moong dal premix) is suitable for a vegan, vegetarian diet and supports balanced mood."
Rice flakes and roasted channa ,Vegan,Balanced Mood,None,Lunch,Rice flakes and roasted channa  is suitable for a vegan diet and supports balanced mood.
Spinach soup in milk ,Vegetarian,Craving,Lactose / Dairy,Dinner,Spinach soup in milk  is suitable for a vegetarian diet and supports neutral mood.
Vegetable soup,Vegan,Balanced Mood,None,Lunch,Vegetable soup is suitable for a vegan diet and supports balanced mood.
Mashed banana with milk,Vegetarian,Tired & Anxious,Lactose / Dairy,Breakfast,Mashed banana with milk is suitable for a vegetarian diet and supports tired & anxious.
Poha with curd (Poha aur dahi),Vegetarian,"Depressed Mood, Stressed",Lactose / Dairy,Breakfast,"Poha with curd (Poha aur dahi) is suitable for a vegetarian diet and supports depressed mood, neutral mood."
Potato with curd,Vegetarian,Depressed Mood,Lactose / Dairy,Breakfast,Potato with curd is suitable for a vegetarian diet and supports depressed mood.
Sweet wheat porridge (Sweet dalia),"Vegan, Vegetarian",Balanced Mood,Gluten,"Lunch, Dinner","Sweet wheat porridge (Sweet dalia) is suitable for a vegan, vegetarian diet and supports balanced mood."
Vegetable khichdi/khichri,Vegan,"Balanced Mood, Stressed",None,Lunch,"Vegetable khichdi/khichri is suitable for a vegan diet and supports balanced mood, neutral mood."
Moong dal mixture,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Moong dal mixture is suitable for a vegan, vegetarian diet and supports balanced mood."
Cracked wheat khichri/khichdi (Dalia khichri/khichdi),"Vegan, Vegetarian","Balanced Mood, Stressed",Gluten,"Lunch, Dinner","Cracked wheat khichri/khichdi (Dalia khichri/khichdi) is suitable for a vegan, vegetarian diet and supports balanced mood, neutral mood."
Stewed apple,"Vegan, Vegetarian",Craving,None,Snack,Stewed apple is suitable for a general diet and supports neutral mood.
Lemon squash (Nimbu ka squash),"Vegan, Vegetarian",Happy,None,Snack,Lemon squash (Nimbu ka squash) is suitable for a general diet and supports neutral mood.
Orange squash (Santre ka squash),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Orange squash (Santre ka squash) is suitable for a general diet and supports neutral mood.
Lichi squash,"Vegan, Vegetarian",Stressed,None,Dinner,Lichi squash is suitable for a general diet and supports neutral mood.
Mango squash (Aam ka squash),"Vegan, Vegetarian",Depressed Mood,None,Snack,Mango squash (Aam ka squash) is suitable for a general diet and supports depressed mood.
Pineapple squash (Ananas ka squash),"Vegan, Vegetarian",Depressed Mood,None,Lunch,Pineapple squash (Ananas ka squash) is suitable for a general diet and supports neutral mood.
Lemon and ginger squash (Nimbu aur adrak ka squash),Anti-Inflammatory,Energetic & Calm,None,Breakfast,Lemon and ginger squash (Nimbu aur adrak ka squash) is suitable for a general diet and supports neutral mood.
Apple jam (Seb ka murabba),"Vegan, Vegetarian",Craving,None,Breakfast,Apple jam (Seb ka murabba) is suitable for a general diet and supports neutral mood.
Plum jam (Aloo bukhara jam),Vegetarian,Depressed Mood,None,Breakfast,Plum jam (Aloo bukhara jam) is suitable for a vegetarian diet and supports neutral mood.
Pineapple jam ,"Vegan, Vegetarian",Craving,None,Dinner,Pineapple jam  is suitable for a general diet and supports neutral mood.
Guava jelly (Amrood ki jelly),"Vegan, Vegetarian",Depressed Mood,None,Snack,Guava jelly (Amrood ki jelly) is suitable for a general diet and supports neutral mood.
Orange marmalade (Santray ka murabba),"Vegan, Vegetarian",Stressed,None,Breakfast,Orange marmalade (Santray ka murabba) is suitable for a general diet and supports neutral mood.
Carrot murabba (Gajar ka murabba),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Carrot murabba (Gajar ka murabba) is suitable for a general diet and supports neutral mood.
Gooseberry marmalade (Amla murabba),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Gooseberry marmalade (Amla murabba) is suitable for a general diet and supports neutral mood.
Ginger candy (Adrak ki candy),Anti-Inflammatory,Happy,None,Dinner,Ginger candy (Adrak ki candy) is suitable for a general diet and supports neutral mood.
Mango pickle (Aam ka achaar),"Vegan, Vegetarian",Depressed Mood,None,Snack,Mango pickle (Aam ka achaar) is suitable for a general diet and supports depressed mood.
Mixed vegetable pickle (Sabziyoon ka achaar),Vegan,Balanced Mood,None,"Lunch, Dinner",Mixed vegetable pickle (Sabziyoon ka achaar) is suitable for a vegan diet and supports balanced mood.
Sweet lemon pickle (Neembu ka meetha achaar),"Vegan, Vegetarian",Craving,None,Snack,Sweet lemon pickle (Neembu ka meetha achaar) is suitable for a general diet and supports neutral mood.
Plum chutney (Aloo bukhara ki chutney),Vegetarian,Depressed Mood,None,Snack,Plum chutney (Aloo bukhara ki chutney) is suitable for a vegetarian diet and supports neutral mood.
Raw mango chutney (Kachhe aam/Kairi ki chutney),Raw Food,Depressed Mood,None,Breakfast,Raw mango chutney (Kachhe aam/Kairi ki chutney) is suitable for a general diet and supports depressed mood.
Tomato sauce,"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Tomato sauce is suitable for a general diet and supports neutral mood.
Tomato puree,"Vegan, Vegetarian",Craving,None,Snack,Tomato puree is suitable for a general diet and supports neutral mood.
Garam masala,"Vegan, Vegetarian",Depressed Mood,None,Snack,Garam masala is suitable for a general diet and supports neutral mood.
Chat masala,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Chat masala is suitable for a general diet and supports neutral mood.
Kashmiri masala,"Vegan, Vegetarian",Depressed Mood,None,Dinner,Kashmiri masala is suitable for a general diet and supports neutral mood.
Rasam powder (Rasam masala),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Rasam powder (Rasam masala) is suitable for a general diet and supports neutral mood.
Sambar powder (Sambar masala),"Vegan, Vegetarian",Balanced Mood,None,Lunch,Sambar powder (Sambar masala) is suitable for a general diet and supports balanced mood.
Tartare sauce,"Vegan, Vegetarian",Depressed Mood,None,Lunch,Tartare sauce is suitable for a general diet and supports neutral mood.
Barbeque sauce,"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Barbeque sauce is suitable for a general diet and supports neutral mood.
Bread sauce,"Vegan, Vegetarian",Energetic & Calm,Gluten,Breakfast,Bread sauce is suitable for a general diet and supports neutral mood.
Green chilli sauce,"Vegan, Vegetarian",Energetic & Calm,None,Dinner,Green chilli sauce is suitable for a general diet and supports neutral mood.
Home made plain noodles,"Vegan, Vegetarian",Craving,None,Dinner,Home made plain noodles is suitable for a general diet and supports neutral mood.
Dal moong,"Vegan, Vegetarian",Balanced Mood,None,"Lunch, Dinner","Dal moong is suitable for a vegan, vegetarian diet and supports balanced mood."
Cumin seeds baghar (Jeera baghar/tadka),"Vegan, Vegetarian",Energetic & Calm,None,Breakfast,Cumin seeds baghar (Jeera baghar/tadka) is suitable for a general diet and supports neutral mood.
Onion tomato baghar (Pyaaz tamatar ka tadka),"Vegan, Vegetarian",Stressed,None,Breakfast,Onion tomato baghar (Pyaaz tamatar ka tadka) is suitable for a general diet and supports neutral mood.
Mustard seeds baghar (Mustard seed tadka),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Mustard seeds baghar (Mustard seed tadka) is suitable for a general diet and supports neutral mood.
Hot cherry sauce,"Vegan, Vegetarian",Stressed,None,Lunch,Hot cherry sauce is suitable for a general diet and supports neutral mood.
Apple jelly (Seb ki jelly),"Vegan, Vegetarian",Happy,None,Lunch,Apple jelly (Seb ki jelly) is suitable for a general diet and supports neutral mood.
Marmalade (Murabba),"Vegan, Vegetarian",Stressed,None,Snack,Marmalade (Murabba) is suitable for a general diet and supports neutral mood.
Plum squash (Aloo bukhara squash),Vegetarian,Depressed Mood,None,Snack,Plum squash (Aloo bukhara squash) is suitable for a vegetarian diet and supports neutral mood.
Lemon green chilli pickle (Nimboo aur hari mirch ka achaar),"Vegan, Vegetarian",Depressed Mood,None,Breakfast,Lemon green chilli pickle (Nimboo aur hari mirch ka achaar) is suitable for a general diet and supports neutral mood.
Brinjal pickle (Baingan ka achaar),"Vegan, Vegetarian",Depressed Mood,None,Snack,Brinjal pickle (Baingan ka achaar) is suitable for a general diet and supports neutral mood.
Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar),"Vegan, Vegetarian",Happy,None,Breakfast,Sweet and sour tomato pickle (Khatta meetha tamatar ka achaar) is suitable for a general diet and supports neutral mood.
Jhatpat achar with carrot (Jhatpat achaar gajar ke saath),"Vegan, Vegetarian",Energetic & Calm,None,Lunch,Jhatpat achar with carrot (Jhatpat achaar gajar ke saath) is suitable for a general diet and supports neutral mood.
Tomato chutney (Tamatar ki chutney),"Vegan, Vegetarian",Depressed Mood,None,Dinner,Tomato chutney (Tamatar ki chutney) is suitable for a general diet and supports neutral mood.
Tomato ketchup,"Vegan, Vegetarian",Energetic & Calm,None,Snack,Tomato ketchup is suitable for a general diet and supports neutral mood.
Bengal 5 Spice Blend (Panch Phoran),"Vegan, Vegetarian",Happy,None,Lunch,Bengal 5 Spice Blend (Panch Phoran) is suitable for a general diet and supports neutral mood.
